Date,Region,Crop_Type,Rainfall_mm,Temperature_C,Soil_Moisture,Fertilizer_Used,Pest_Presence,Disease_Presence
1/28/2022,Northern,Rice,46.64,32.5,0.33,Yes,0,
1/28/2022,Northern,Rice,29.35,28.5,0.26,No,0,
1/29/2022,Northern,Maize,28.49,31.3,0.21,Yes,1,
1/29/2022,Volta,Yam,48.3,34.2,0.47,Yes,0,
1/29/2022,Western,Rice,47.5,27.1,0.37,No,0,0
1/30/2022,Western,Maize,49.83,30.9,0.3,Yes,0,1
1/30/2022,Volta,Yam,30.13,30.4,0.3,Yes,0,0
1/30/2022,Northern,Maize,36.74,30.6,0.3,Yes,0,0
1/31/2022,Greater Accra,Maize,31.38,29.8,0.22,Yes,1,1
1/31/2022,Northern,Yam,33.11,29.6,0.2,Yes,0,1
1/31/2022,Western,Yam,69.21,28.3,0.42,Yes,0,0
2/1/2022,,,44.21,28.5,0.26,Yes,0,1
2/1/2022,,,54.15,26.9,0.29,Yes,0,0
2/2/2022,,,48.49,28.7,0.45,Yes,0,1
2/2/2022,,,79.95,30.3,0.59,No,0,1
2/2/2022,,,49.26,26.7,0.46,Yes,0,1
2/3/2022,,,28.19,29,0.36,No,1,1
2/4/2022,,,24.52,31.5,0.27,Yes,0,0
2/4/2022,Volta,Yam,34.53,30.3,0.34,No,0,1
2/4/2022,Greater Accra,Cocoa,23.75,31.2,0.41,No,0,1
2/4/2022,Ashanti,Cocoa,43.38,26.7,0.35,No,0,1
2/4/2022,Northern,Rice,31.79,31,0.42,No,0,0
2/5/2022,Western,Cocoa,56.93,28.9,0.36,Yes,0,1
2/5/2022,Greater Accra,Rice,30.22,31.2,0.29,Yes,1,1
2/5/2022,Greater Accra,Yam,24.56,31.7,0.31,No,0,0
2/5/2022,Western,Cocoa,62.33,28.8,0.47,Yes,0,1
2/5/2022,Volta,Cocoa,42.98,29.6,0.38,No,0,1
2/6/2022,Northern,Cocoa,34.91,30.3,0.25,No,0,1
2/7/2022,Northern,Maize,30.16,27.7,0.29,Yes,0,1
2/7/2022,Western,Rice,48.72,25.3,0.32,Yes,0,0
2/8/2022,Western,Cocoa,59.81,27.9,0.55,Yes,0,1
2/8/2022,Western,Maize,63.93,30.8,0.58,No,0,0
2/9/2022,Ashanti,Maize,63.43,27,0.52,Yes,0,1
2/9/2022,Volta,Cocoa,38.6,29.4,0.27,Yes,0,0
2/9/2022,Volta,Cassava,46.69,29.4,0.25,Yes,0,1
2/9/2022,Greater Accra,Cassava,27.66,33.2,0.37,Yes,0,0
2/10/2022,Greater Accra,Yam,25.65,30.7,0.19,No,0,0
2/10/2022,Ashanti,Maize,50.57,34.8,0.35,Yes,0,1
2/10/2022,Ashanti,Yam,32.55,30.3,0.46,No,1,1
2/10/2022,Volta,Rice,55.43,28.8,0.38,No,0,0
2/10/2022,Greater Accra,Cassava,26.52,32.7,,,1,0
2/10/2022,Northern,Rice,22.07,32,,,0,0
2/10/2022,Western,Cocoa,44.89,27.3,,,1,1
2/10/2022,Ashanti,Yam,50.12,27.3,,,0,1
2/10/2022,Volta,Cassava,46.88,29.5,,,1,0
2/11/2022,Greater Accra,Yam,25.77,28.9,0.37,Yes,0,0
2/11/2022,Greater Accra,Yam,30.61,29.9,0.19,No,1,1
2/11/2022,Western,Cocoa,66.92,27.5,0.37,Yes,1,1
2/11/2022,Greater Accra,Rice,24.49,26.7,0.4,Yes,0,1
2/11/2022,Volta,Yam,43.33,28.5,0.48,No,0,0
2/11/2022,Northern,Maize,35.51,31.4,0.33,Yes,0,1
2/12/2022,Western,Maize,50.81,26.3,0.53,Yes,0,0
2/12/2022,Northern,Maize,46.5,26.2,0.45,Yes,0,1
2/12/2022,Greater Accra,Maize,24.59,30.2,0.4,No,1,0
2/13/2022,Greater Accra,Cassava,26.73,29.2,0.28,Yes,0,0
2/13/2022,Volta,Yam,44.11,28.8,0.31,Yes,0,1
2/14/2022,Western,Cassava,53.47,26.8,0.35,Yes,1,1
2/14/2022,Western,Maize,49.41,28.1,0.51,Yes,0,0
2/14/2022,Western,Cocoa,52.14,30.7,0.5,No,0,1
2/15/2022,Greater Accra,Rice,23.71,32,0.21,No,0,0
2/16/2022,Ashanti,Maize,30.84,25.9,0.44,Yes,0,1
2/16/2022,Volta,Rice,43.95,26.8,0.24,Yes,1,1
2/16/2022,Ashanti,,,,0.5,Yes,1,1
2/16/2022,Western,,,,0.66,No,0,1
2/20/2022,Ashanti,,,,0.51,Yes,0,0
2/20/2022,Western,,,,0.4,No,0,1
2/21/2022,Western,,,,0.48,Yes,1,1
2/21/2022,Ashanti,Cocoa,52.48,26.9,0.3,No,0,1
2/21/2022,Volta,Yam,50.65,27.6,0.39,Yes,0,0
2/21/2022,Northern,Maize,29.12,29.3,0.21,No,1,0
2/21/2022,Western,Cassava,46.14,25.6,0.45,No,1,1
2/21/2022,Western,Yam,65.51,29.5,0.2,No,1,1
2/22/2022,Volta,Cassava,24.88,27.5,0.38,Yes,0,1
2/22/2022,Western,Maize,51.77,29.3,0.44,Yes,1,1
2/22/2022,Greater Accra,Yam,24.2,31.4,0.21,No,1,0
2/23/2022,Volta,Yam,49.89,29.1,0.45,Yes,0,1
2/23/2022,,,,,0.31,Yes,1,1
2/23/2022,,,,,0.48,Yes,1,1
2/24/2022,,,,,0.35,Yes,0,1
2/25/2022,,,,,0.38,Yes,0,0
2/25/2022,,,,,0.58,Yes,1,1
2/25/2022,Western,Cassava,60.03,30.3,0.68,Yes,1,1
2/26/2022,Western,Yam,56.54,29.2,0.44,Yes,1,1
2/26/2022,Greater Accra,Cassava,25.58,31.2,0.27,Yes,0,1
2/26/2022,Northern,Rice,39.93,30.5,0.1,Yes,1,1
2/26/2022,Volta,Maize,44.46,29,0.42,Yes,0,1
2/26/2022,Volta,Cocoa,35.67,29.4,0.4,No,1,1
2/27/2022,Ashanti,Rice,50.95,30.3,0.45,Yes,1,1
2/27/2022,Western,Maize,64.38,31.1,0.38,Yes,1,1
2/27/2022,Western,Rice,50.32,26.7,0.36,Yes,1,1
2/27/2022,Northern,Maize,26.22,32.3,0.3,Yes,0,0
2/28/2022,Greater Accra,Cassava,21,29.9,0.48,Yes,0,1
2/28/2022,Northern,Cassava,34.44,34.3,0.26,No,1,0
2/28/2022,Northern,Yam,36.88,32.8,0.28,Yes,0,0
2/28/2022,Western,Maize,45.27,24.7,0.45,No,1,1
2/28/2022,Ashanti,Maize,65.34,27.5,0.37,No,0,1
2/28/2022,Northern,Yam,30.11,33.3,0.29,No,1,1
2/28/2022,Ashanti,Yam,55.11,24.3,0.34,Yes,1,0
3/1/2022,Ashanti,Maize,53.55,31.7,0.4,Yes,1,1
3/1/2022,Greater Accra,Rice,22.93,31.4,0.29,No,1,1
3/1/2022,Volta,Yam,43.07,28,0.29,Yes,1,1
3/1/2022,Greater Accra,Cocoa,19.17,32.8,0.23,Yes,0,1
3/2/2022,Ashanti,Cassava,50.9,29.3,0.67,Yes,1,1
3/2/2022,Volta,Rice,41.16,25.2,0.42,No,0,1
3/3/2022,Northern,Cassava,31.51,35.5,0.17,No,0,0
3/3/2022,Western,Cocoa,69.64,25.4,0.6,Yes,0,1
3/3/2022,Greater Accra,Rice,23.09,28.7,0.23,Yes,0,1
3/4/2022,Ashanti,Yam,51.68,26.3,0.49,No,0,0
3/4/2022,Ashanti,Yam,44.71,29.7,0.42,Yes,1,1
3/4/2022,Western,Maize,40.68,29.7,0.44,No,0,1
3/5/2022,Greater Accra,Cocoa,12.83,31.3,0.34,No,0,0
3/5/2022,Ashanti,Cocoa,52.66,25.8,0.64,Yes,0,1
3/6/2022,Ashanti,Maize,56.8,27.9,0.3,Yes,0,0
3/7/2022,Volta,Cassava,50.81,32.4,0.27,No,1,1
3/7/2022,Western,Cassava,33.72,29.7,0.38,No,1,0
3/8/2022,Greater Accra,Yam,24.05,29.9,0.29,Yes,1,0
3/8/2022,Northern,Cassava,34.21,32.7,0.13,Yes,1,1
3/8/2022,Western,Cocoa,48.56,26.7,0.38,Yes,1,1
3/8/2022,Western,Cassava,52.99,29.2,0.58,Yes,0,1
3/8/2022,Volta,Maize,36.56,33.1,0.22,Yes,0,1
3/9/2022,Northern,Yam,32.41,29.3,0.34,No,1,0
3/9/2022,Ashanti,Cassava,51.79,31.6,0.48,Yes,0,1
3/9/2022,Western,Cassava,58.84,28.4,0.5,No,1,1
3/9/2022,Ashanti,Maize,51.91,25.3,0.35,Yes,1,0
3/9/2022,Northern,Cassava,27.61,28.8,0.13,Yes,0,0
3/9/2022,Greater Accra,Maize,33.71,30.3,0.3,Yes,0,0
3/9/2022,Western,Cocoa,36.09,28.6,0.45,No,0,1
3/10/2022,Greater Accra,Maize,18.81,28.5,0.46,Yes,1,1
3/10/2022,Greater Accra,Cocoa,21.66,31,0.32,No,0,1
3/10/2022,Western,Cocoa,64.06,27,0.56,No,0,1
3/11/2022,Volta,Cassava,44.84,27.2,0.31,No,0,0
3/11/2022,Greater Accra,Maize,25.52,32,0.27,Yes,0,1
3/11/2022,Western,Cocoa,72.16,34.5,0.53,Yes,0,1
3/11/2022,Ashanti,Rice,52.11,31.5,0.52,No,0,1
3/11/2022,Western,Yam,65.02,25.1,0.33,Yes,1,1
3/13/2022,Western,Rice,70.13,27.7,0.7,Yes,0,0
3/13/2022,Ashanti,Cocoa,46.28,31.3,0.48,No,0,0
3/13/2022,Ashanti,Maize,45.08,23.6,0.32,No,1,1
3/13/2022,Greater Accra,Yam,29.11,33.4,0.34,No,0,1
3/14/2022,Ashanti,Cassava,37.18,29.7,0.57,No,0,1
3/14/2022,Volta,Cassava,50.83,30.1,0.35,Yes,0,0
3/15/2022,Volta,Cocoa,59.1,24.1,0.48,No,0,1
3/15/2022,Greater Accra,Rice,18.08,30.3,0.18,Yes,0,0
3/16/2022,Western,Cassava,56.21,24.3,0.29,No,0,0
3/16/2022,Greater Accra,Cocoa,23.03,30.7,0.3,Yes,0,0
3/16/2022,Western,Cocoa,38.85,29.8,0.37,No,1,1
3/16/2022,Ashanti,Maize,58.55,27.1,0.41,No,1,1
3/17/2022,Greater Accra,Cocoa,18.17,29.3,0.3,Yes,1,0
3/17/2022,Volta,Cassava,30.9,26.9,0.5,Yes,0,0
3/17/2022,Northern,Cocoa,31.7,32.8,0.12,Yes,0,0
3/18/2022,Northern,Yam,29.32,30.1,0.39,No,1,1
3/18/2022,Volta,Yam,44.66,28.5,0.59,No,0,1
3/18/2022,Ashanti,Cassava,65.08,29.8,0.51,No,1,0
3/19/2022,Ashanti,Yam,39.79,27.8,0.45,No,1,1
3/20/2022,Greater Accra,Yam,27.65,26.6,0.43,Yes,0,1
3/20/2022,Western,Rice,60.41,29.1,0.47,Yes,1,1
3/20/2022,Northern,Cassava,41.38,33.1,0.43,No,0,1
3/21/2022,Ashanti,Rice,53.38,28.1,0.6,Yes,0,1
3/22/2022,Ashanti,Yam,62.83,27.5,0.53,Yes,1,1
3/22/2022,Western,Cocoa,62.07,28.5,0.55,No,1,1
3/22/2022,Ashanti,Maize,60.47,28.8,0.6,No,1,0
3/22/2022,Northern,Cassava,28.39,31.1,0.1,Yes,0,1
3/22/2022,Volta,Cocoa,51.34,25.3,0.36,No,0,0
3/22/2022,Volta,Cocoa,42.79,32.1,0.4,Yes,0,1
3/22/2022,Western,Cassava,54.9,25.9,0.51,No,1,1
3/23/2022,Ashanti,Yam,59.21,27.9,0.54,Yes,0,1
3/23/2022,Volta,Maize,36.37,27.8,0.29,Yes,0,1
3/24/2022,Western,Cassava,36.85,28.7,0.66,No,1,1
3/24/2022,Greater Accra,Maize,24.68,32.1,0.34,Yes,1,1
3/24/2022,Ashanti,Rice,62.79,30,0.42,Yes,0,1
3/24/2022,Ashanti,Maize,62.9,27.1,0.36,Yes,1,1
3/25/2022,Northern,Maize,30.73,30.8,0.1,Yes,1,1
3/25/2022,Volta,Maize,42.66,30.1,0.39,Yes,0,1
3/25/2022,Northern,Rice,33.49,31.3,0.33,Yes,0,0
3/25/2022,Northern,Rice,27.18,31.7,0.29,Yes,0,0
3/25/2022,Greater Accra,Maize,20.83,32,0.29,Yes,0,0
3/26/2022,Volta,Yam,34.26,29.1,0.48,Yes,0,1
3/26/2022,Greater Accra,Cocoa,27.65,31.7,0.13,No,1,1
3/26/2022,Ashanti,Yam,42.76,25.7,0.35,No,1,0
3/27/2022,Volta,Yam,40.66,28.4,0.31,Yes,1,1
3/29/2022,Ashanti,Maize,50.31,27,0.43,No,0,1
3/29/2022,Western,Maize,26.45,28.9,0.7,No,1,1
3/29/2022,Western,Cocoa,57.79,25.9,0.5,Yes,0,1
3/30/2022,Western,Yam,58.49,29.7,0.27,Yes,0,0
3/31/2022,Volta,Cassava,35.66,30.6,0.42,Yes,1,1
4/1/2022,Ashanti,Cocoa,263.09,26.1,0.62,Yes,0,1
4/2/2022,Ashanti,Maize,320.05,28,0.67,No,1,1
4/2/2022,Northern,Rice,215.4,27.6,0.34,No,0,1
4/2/2022,Volta,Yam,187.49,24.5,0.49,Yes,0,1
4/3/2022,Northern,Yam,140.94,25.8,0.2,Yes,0,1
4/3/2022,Western,Cocoa,239.66,24.3,0.49,No,0,1
4/4/2022,Volta,Rice,225.75,26.1,0.55,Yes,1,1
4/4/2022,Northern,Cassava,203.6,24.6,0.35,No,1,1
4/5/2022,Northern,Maize,136.66,29.2,0.42,Yes,1,1
4/6/2022,Western,Rice,237.93,24,0.51,No,1,1
4/6/2022,Volta,Cocoa,190.86,24,0.54,No,1,1
4/6/2022,Greater Accra,Cocoa,149.99,20.7,0.47,Yes,1,1
4/6/2022,Volta,Yam,263.12,28.5,0.44,Yes,0,1
4/7/2022,Greater Accra,Maize,121.89,29.9,0.4,Yes,1,1
4/7/2022,Northern,Cassava,168.83,22.8,0.2,No,1,1
4/8/2022,Greater Accra,Cassava,137.3,29.3,0.36,Yes,0,0
4/8/2022,Western,Yam,269.72,28,0.7,No,0,1
4/9/2022,Greater Accra,Maize,113.18,28.6,0.49,No,1,1
4/10/2022,Greater Accra,Cassava,112.59,26.2,0.35,Yes,1,1
4/10/2022,Ashanti,Maize,306.49,26.1,0.48,Yes,0,1
4/10/2022,Ashanti,Cocoa,177.33,21.4,0.38,No,0,1
4/10/2022,Western,Yam,240.85,24.9,0.7,Yes,1,0
4/10/2022,Northern,Rice,235.5,32.2,0.26,No,0,1
4/10/2022,Greater Accra,Cocoa,168.76,29,0.43,No,1,1
4/11/2022,Ashanti,Cassava,170.21,28.6,0.6,Yes,1,1
4/11/2022,Western,Yam,256.81,24.2,0.7,Yes,1,1
4/12/2022,Volta,Yam,195.54,26.2,0.45,No,1,1
4/12/2022,Northern,Cassava,180.25,30.7,0.27,Yes,0,1
4/12/2022,Western,Rice,290.5,23,0.6,Yes,1,1
4/12/2022,Greater Accra,Cocoa,121.71,27.2,0.41,Yes,0,1
4/13/2022,Ashanti,Cocoa,271.28,24.5,0.52,Yes,0,1
4/14/2022,Greater Accra,Maize,144.5,28.6,0.52,Yes,0,1
4/14/2022,Northern,Yam,158.82,28.3,0.31,No,1,1
4/15/2022,Western,Rice,340.67,26.8,0.6,No,1,0
4/15/2022,Ashanti,Maize,313.06,22.7,0.45,No,1,1
4/15/2022,Greater Accra,Cassava,113.42,22.7,0.37,Yes,1,0
4/15/2022,Ashanti,Yam,272.7,23.7,0.6,No,1,1
4/16/2022,Northern,Yam,137.94,28.1,0.18,No,0,0
4/16/2022,Volta,Rice,215.9,29.9,0.39,No,0,1
4/16/2022,Western,Yam,282.66,22.6,0.56,Yes,0,1
4/16/2022,Greater Accra,Maize,103.21,27.9,0.25,Yes,0,0
4/17/2022,Ashanti,Maize,368.65,26.1,0.3,Yes,1,1
4/17/2022,Greater Accra,Cocoa,102.6,24.7,0.37,Yes,1,1
4/17/2022,Western,Yam,347.12,24.1,0.68,Yes,1,1
4/17/2022,Northern,Maize,163.68,23.4,0.4,Yes,0,1
4/17/2022,Western,Rice,278.54,26.5,0.67,Yes,1,1
4/18/2022,Ashanti,Cocoa,205.28,23.5,0.55,Yes,1,1
4/20/2022,Ashanti,Cocoa,152.34,27.9,0.7,No,1,1
4/20/2022,Western,Yam,335.25,26,0.66,Yes,1,1
4/20/2022,Greater Accra,Maize,116.79,28.4,0.3,Yes,0,1
4/20/2022,Northern,Yam,205.34,24,0.21,Yes,0,1
4/20/2022,Northern,Cocoa,148.36,31,0.44,Yes,1,1
4/20/2022,Ashanti,Yam,241.1,24.9,0.47,No,1,1
4/21/2022,Northern,Yam,139.5,30.2,0.46,No,0,1
4/21/2022,Volta,Cassava,137.45,25.4,0.62,Yes,1,1
4/21/2022,Western,Cocoa,233.27,22.7,0.5,Yes,0,1
4/21/2022,Northern,Maize,124.1,28,0.34,No,0,0
4/22/2022,Volta,Yam,174.58,27.2,0.39,No,0,1
4/22/2022,Volta,Rice,256.71,27.7,0.63,No,1,1
4/22/2022,Ashanti,Yam,223.67,28.7,0.54,Yes,0,1
4/23/2022,Volta,Cassava,162.69,24.5,0.57,No,0,1
4/23/2022,Volta,Cocoa,192.57,24.3,0.6,Yes,0,1
4/24/2022,Greater Accra,Cocoa,101.94,25,0.37,Yes,1,1
4/24/2022,Northern,Maize,114.05,28,0.35,No,0,1
4/25/2022,Volta,Rice,119.25,28.7,0.52,Yes,1,1
4/25/2022,Western,Rice,275.33,26.2,0.62,No,1,1
4/25/2022,Greater Accra,Maize,122.14,26.8,0.44,Yes,1,1
4/26/2022,Volta,Yam,269.14,26,0.46,Yes,1,0
4/26/2022,Western,Rice,248.38,21.3,0.58,Yes,0,1
4/26/2022,Volta,Cassava,153.03,26.2,0.49,Yes,0,1
4/26/2022,Greater Accra,Cocoa,87.05,25.9,0.31,Yes,1,1
4/26/2022,Volta,Cassava,201.92,25.9,0.5,Yes,0,0
4/27/2022,Volta,Maize,252.3,27.1,0.56,Yes,1,1
4/27/2022,Northern,Cocoa,111,32,0.21,No,1,1
4/27/2022,Northern,Maize,188.23,28.1,0.3,No,1,0
4/28/2022,Greater Accra,Rice,92.21,30.8,0.38,Yes,0,1
4/28/2022,Ashanti,Yam,193.57,28.9,0.59,Yes,1,1
4/28/2022,Volta,Cassava,178.57,26.3,0.52,Yes,0,1
4/28/2022,Greater Accra,Cocoa,116.18,25.6,0.3,No,1,1
4/29/2022,Northern,Cocoa,102.74,30.1,0.27,No,0,1
4/29/2022,Northern,Cocoa,159.19,25.7,0.23,Yes,1,1
4/29/2022,Northern,Cassava,161.75,31.7,0.1,Yes,0,0
4/30/2022,Western,Yam,283.95,24.2,0.5,Yes,1,1
4/30/2022,Northern,Cocoa,176.9,28.4,0.31,Yes,0,1
4/30/2022,Northern,Yam,162.39,27.1,0.33,Yes,0,0
5/1/2022,Western,Rice,254.32,26.5,0.49,Yes,1,1
5/2/2022,Northern,Rice,153.62,27.5,0.24,No,1,1
5/2/2022,Greater Accra,Yam,133.71,28.6,0.4,No,0,1
5/2/2022,Greater Accra,Yam,102.32,23.3,0.26,Yes,1,1
5/2/2022,Western,Maize,327.65,23.7,0.59,Yes,1,1
5/2/2022,Volta,Cocoa,223.26,21.8,0.54,Yes,0,1
5/2/2022,Volta,Cassava,150.07,29.1,0.53,Yes,1,1
5/2/2022,Volta,Yam,193.16,22.9,0.33,No,0,0
5/3/2022,Western,Yam,339.72,24,0.61,No,0,1
5/3/2022,Volta,Cassava,159.71,26.7,0.42,Yes,0,1
5/3/2022,Ashanti,Maize,373.93,24.9,0.64,Yes,0,0
5/3/2022,Ashanti,Maize,287.72,24.3,0.65,Yes,0,0
5/4/2022,Northern,Yam,218.53,24.2,0.25,Yes,0,0
5/4/2022,Volta,Cassava,192.2,26.4,0.53,Yes,1,1
5/4/2022,Ashanti,Cassava,186,23.3,0.59,Yes,0,1
5/4/2022,Volta,Cocoa,210.65,26.7,0.43,No,0,1
5/4/2022,Volta,Cassava,207.89,26.1,0.4,No,1,1
5/5/2022,Ashanti,Rice,242.28,26.5,0.44,No,0,1
5/5/2022,Volta,Maize,193.8,24.3,0.5,Yes,0,1
5/6/2022,Greater Accra,Rice,129.89,27,0.39,No,1,0
5/6/2022,Ashanti,Rice,288.71,27.6,0.48,Yes,1,1
5/7/2022,Ashanti,Cassava,196.65,24.2,0.57,Yes,1,1
5/8/2022,Western,Cassava,201.26,31,0.7,No,0,1
5/8/2022,Volta,Rice,163.88,31.5,0.51,Yes,1,1
5/8/2022,Volta,Rice,218.83,28.5,0.48,Yes,1,1
5/9/2022,Western,Cassava,282.44,25.3,0.48,Yes,0,1
5/9/2022,Northern,Cassava,197.24,26.9,0.2,Yes,1,1
5/9/2022,Volta,Cassava,167.99,21.9,0.56,No,0,1
5/9/2022,Ashanti,Cocoa,229.07,23.3,0.54,Yes,1,1
5/10/2022,Western,Cassava,269.7,26.4,0.63,Yes,1,1
5/10/2022,Northern,Maize,165.84,30.4,0.34,Yes,0,0
5/10/2022,Northern,Cassava,127.48,29.1,0.35,No,0,1
5/11/2022,Ashanti,Maize,203.77,21.2,0.61,Yes,1,1
5/11/2022,Ashanti,Maize,258.83,22.5,0.67,Yes,0,1
5/11/2022,Volta,Cocoa,243.11,27.3,0.57,Yes,0,1
5/11/2022,Ashanti,Rice,278.47,23.1,0.48,No,1,1
5/11/2022,Western,Cocoa,249.99,21.6,0.48,No,1,1
5/12/2022,Ashanti,Cocoa,259.53,25.7,0.53,Yes,0,0
5/12/2022,Volta,Yam,285.7,29.7,0.29,Yes,1,1
5/12/2022,Ashanti,Maize,302.61,25.7,0.44,Yes,0,1
5/12/2022,Greater Accra,Yam,117.23,26,0.33,No,1,1
5/12/2022,Greater Accra,Maize,104.44,24.9,0.47,No,0,1
5/12/2022,Western,Rice,412.19,24.5,0.54,Yes,0,0
5/12/2022,Volta,Maize,146.07,25.8,0.53,Yes,0,1
5/12/2022,Volta,Rice,225.87,25.5,0.59,Yes,1,1
5/13/2022,Ashanti,Cocoa,336.91,25.9,0.54,Yes,1,1
5/13/2022,Western,Yam,200.78,25,0.7,No,0,1
5/13/2022,Western,Cassava,343.98,21.4,0.69,No,1,1
5/13/2022,Northern,Cocoa,185.86,25.7,0.36,Yes,1,1
